Date updated:,05-Jan-25,,,,,,YouTube Video explaining estimation choices and process.,Notes,,
Household Products,101,70.30%,31.39,32.17,55.94,30.24,28.47,10.21%,2.79,
Information Services,16,31.25%,26.86,21.28,14.68,34.16,23.52,8.53%,2.76,
Insurance (General),22,50.00%,60.29,58.24,25.80,29.25,32.18,19.76%,1.63,
Insurance (Life),19,21.05%,26.81,46.46,10.34,22.10,13.22,10.18%,1.30,
Insurance (Prop/Cas.),53,22.64%,33.39,16.59,51.95,24.42,13.34,26.77%,0.50,
Investments & Asset Management,231,50.65%,53.45,56.10,18.42,32.60,26.52,14.95%,1.77,
Machinery,109,49.54%,43.07,33.33,21.97,31.44,24.98,13.01%,1.92,
Metals & Mining,64,85.94%,64.56,74.86,18.91,53.23,24.07,18.70%,1.29,
Office Equipment & Services,14,35.71%,32.17,14.81,12.26,NA,18.21,14.17%,1.29,
Oil/Gas (Integrated),4,0.00%,9.09,10.83,14.75,12.51,14.21,3.42%,4.15,
Oil/Gas (Production and Exploration),147,53.74%,125.94,19.10,15.19,10.19,11.90,7.00%,1.70,
Oil/Gas Distribution,24,33.33%,66.62,27.82,22.96,14.17,19.80,1.24%,16.00,
Oilfield Svcs/Equip.,97,51.55%,43.02,29.33,19.77,7.87,12.40,20.93%,0.59,
Packaging & Container,22,27.27%,21.78,26.10,14.44,24.65,13.96,8.58%,1.63,
Paper/Forest Products,6,33.33%,18.79,23.34,19.86,20.20,16.12,5.85%,2.75,
Power,48,16.67%,23.17,23.27,16.47,23.94,19.56,5.97%,3.28,
Precious Metals,60,93.33%,16.69,28.22,13.96,NA,23.73,9.77%,2.43,
Publishing & Newspapers,19,73.68%,31.87,25.08,16.32,89.75,32.11,12.41%,2.59,
R.E.I.T.,192,35.94%,44.63,51.78,41.45,53.80,31.89,6.72%,4.75,
Real Estate (Development),15,53.33%,17.17,40.49,21.72,NA,14.75,NA,NA,
Real Estate (General/Diversified),11,63.64%,38.85,17.88,618.71,26.40,22.19,NA,NA,
Real Estate (Operations & Services),60,80.00%,61.06,63.94,407.74,NA,48.57,53.93%,0.90,
Recreation,50,64.00%,22.93,33.91,47.52,NA,21.61,9.16%,2.36,
Reinsurance,1,0.00%,15.60,19.35,9.37,15.60,19.35,NA,NA,
Restaurant/Dining,62,41.94%,154.88,56.60,38.93,35.49,29.37,16.35%,1.80,
Retail (Automotive),29,48.28%,25.38,123.07,31.94,21.19,22.39,8.73%,2.56,
Retail (Building Supply),13,38.46%,27.01,42.96,37.71,24.72,24.79,15.48%,1.60,
Retail (Distributors),66,39.39%,30.17,51.90,24.60,20.31,21.43,10.96%,1.96,
Retail (General),24,25.00%,28.81,25.79,22.74,57.34,41.09,3.91%,10.52,
Retail (Grocery and Food),17,41.18%,21.33,21.12,20.80,33.95,18.34,9.52%,1.93,
Retail (REITs),28,21.43%,70.52,72.24,44.33,33.80,28.68,4.44%,6.45,
Retail (Special Lines),98,61.22%,92.51,24.48,22.70,101.13,21.73,13.52%,1.61,
Rubber& Tires,3,100.00%,7.38,NA,5.29,NA,NA,124.40%,NA,
Semiconductor,63,60.32%,64.15,54.22,86.40,89.48,53.99,17.52%,3.08,
Semiconductor Equip,30,30.00%,43.57,71.35,25.10,28.46,23.88,21.04%,1.13,
Shipbuilding & Marine,8,50.00%,17.29,12.77,11.61,22.00,14.13,33.25%,0.42,
Shoe,12,41.67%,18.61,17.58,19.41,21.18,22.02,10.34%,2.13,
Software (Entertainment),81,76.54%,41.66,68.18,37.68,35.34,25.46,19.77%,1.29,
Software (Internet),29,72.41%,51.76,50.64,155.59,NA,17.95,22.39%,0.80,
Software (System & Application),333,72.97%,179.80,203.77,51.82,53.81,41.63,21.83%,1.91,
Steel,27,25.93%,13.97,15.02,15.34,8.52,12.51,11.41%,1.10,
Telecom (Wireless),11,54.55%,32.02,13.36,33.57,34.06,24.01,12.80%,1.88,
Telecom. Equipment,61,73.77%,40.05,46.06,33.10,48.30,34.24,10.98%,3.12,
Telecom. Services,32,75.00%,74.81,25.52,16.60,21.65,17.67,-2.98%,NA,
Tobacco,12,66.67%,19.85,15.29,15.55,17.49,13.71,11.67%,1.17,
Transportation,21,52.38%,22.42,24.83,17.23,21.45,21.79,-6.31%,NA,
Transportation (Railroads),4,25.00%,22.50,19.93,18.01,21.67,19.94,8.61%,2.32,
Trucking,24,37.50%,75.05,335.52,47.60,29.53,29.87,12.03%,2.48,
Utility (General),14,0.00%,19.19,18.72,17.73,18.66,19.19,6.90%,2.78,
Utility (Water),15,33.33%,27.07,23.13,22.24,25.32,21.57,14.10%,1.53,
Total Market,6062,57.51%,57.11,48.86,31.60,32.70,25.93,14.70%,1.76,
Total Market (without financials),4935,64.19%,59.79,53.28,34.70,35.84,27.84,15.50%,1.80,
